order_id,order_date,region,product,quantity,unit_price,revenue
10001,2025-05-10,East,Keyboard,3,800,2400
10002,2033-04-30,North,Monitor,4,2000,8000
10003,2031-06-20,North,Accessories,2,800,1600
10004,2024-04-11,East,Monitor,4,1500,6000
10005,2035-02-13,West,Tablet,5,500,2500
10006,2032-06-06,West,Monitor,2,1200,2400
10007,2031-09-07,North,Laptop,5,1200,6000
10008,2030-12-29,East,Keyboard,1,1200,1200
10009,2023-05-11,West,Monitor,2,1500,3000
10010,2027-08-13,North,Laptop,4,500,2000
10011,2025-02-08,South,Tablet,1,2000,2000
10012,2029-07-19,East,Keyboard,5,2000,10000
10013,2029-08-30,South,Monitor,5,500,2500
10014,2026-03-30,South,Accessories,4,500,2000
10015,2035-06-22,West,Accessories,1,1200,1200
10016,2032-04-08,West,Keyboard,3,2000,6000
10017,2034-04-10,West,Accessories,4,500,2000
10018,2036-04-05,East,Monitor,5,2000,10000
10019,2030-12-14,South,Monitor,2,500,1000
10020,2024-04-19,East,Keyboard,1,800,800
10021,2025-12-18,West,Monitor,3,1200,3600
10022,2030-01-02,South,Laptop,2,500,1000
10023,2028-08-09,East,Tablet,1,1500,1500
10024,2030-07-10,East,Accessories,4,500,2000
10025,2025-09-02,North,Laptop,4,800,3200
10026,2027-12-12,East,Keyboard,1,1500,1500
10027,2023-07-09,West,Accessories,3,1500,4500
10028,2030-06-27,East,Laptop,1,500,500
10029,2031-03-25,South,Monitor,2,800,1600
10030,2035-10-03,East,Keyboard,2,1500,3000
10031,2028-03-14,North,Keyboard,4,1200,4800
10032,2026-06-21,South,Accessories,1,1200,1200
10033,2027-03-09,South,Monitor,4,2000,8000
10034,2031-10-08,North,Accessories,3,2000,6000
10035,2032-09-26,West,Smartphone,2,800,1600
10036,2033-08-26,South,Laptop,5,1500,7500
10037,2024-10-08,West,Smartphone,5,1200,6000
10038,2030-11-28,South,Laptop,1,1200,1200
10039,2029-09-01,South,Tablet,1,800,800
10040,2024-08-23,West,Keyboard,5,1500,7500
10041,2029-06-21,South,Accessories,1,800,800
10042,2028-08-23,West,Tablet,2,500,1000
10043,2023-08-30,North,Tablet,3,1200,3600
10044,2028-08-03,West,Keyboard,3,800,2400
10045,2030-09-25,North,Keyboard,4,800,3200
10046,2030-02-25,South,Laptop,2,500,1000
10047,2026-09-25,West,Smartphone,1,2000,2000
10048,2027-01-18,South,Monitor,1,1200,1200
10049,2029-12-31,West,Laptop,4,800,3200
10050,2025-02-14,North,Monitor,4,1200,4800
10051,2033-12-28,North,Tablet,1,2000,2000
10052,2023-02-04,West,Monitor,1,800,800
10053,2031-08-19,North,Smartphone,2,500,1000
10054,2028-05-09,South,Laptop,4,1200,4800
10055,2027-05-05,South,Keyboard,2,500,1000
10056,2033-10-18,East,Smartphone,1,2000,2000
10057,2031-06-01,North,Smartphone,5,2000,10000
10058,2025-10-18,South,Laptop,5,1200,6000
10059,2032-06-23,West,Keyboard,1,2000,2000
10060,2030-02-26,North,Smartphone,4,1500,6000
10061,2033-07-10,South,Keyboard,5,1200,6000
10062,2027-02-09,North,Accessories,4,1500,6000
10063,2036-02-20,West,Accessories,5,2000,10000
10064,2023-06-11,South,Accessories,4,1200,4800
10065,2034-10-07,East,Monitor,5,1500,7500
10066,2028-06-04,East,Smartphone,4,2000,8000
10067,2025-09-22,North,Laptop,2,800,1600
10068,2036-06-12,West,Laptop,4,800,3200
10069,2032-02-25,South,Monitor,2,500,1000
10070,2035-06-18,West,Laptop,2,800,1600
10071,2033-05-26,South,Accessories,1,1500,1500
10072,2026-06-29,North,Smartphone,2,800,1600
10073,2025-10-13,South,Laptop,3,1200,3600
10074,2023-12-04,West,Laptop,2,1200,2400
10075,2025-05-28,West,Tablet,4,1200,4800
10076,2025-12-12,North,Tablet,2,800,1600
10077,2036-05-19,West,Tablet,4,800,3200
10078,2033-12-07,South,Smartphone,4,500,2000
10079,2036-04-21,North,Accessories,3,2000,6000
10080,2024-01-15,South,Keyboard,2,500,1000
10081,2024-05-07,West,Accessories,2,1500,3000
10082,2028-08-24,North,Accessories,5,1200,6000
10083,2033-08-20,South,Smartphone,5,800,4000
10084,2023-03-06,West,Smartphone,1,2000,2000
10085,2030-01-12,West,Tablet,4,2000,8000
10086,2028-07-20,East,Laptop,3,800,2400
10087,2030-05-19,West,Monitor,5,500,2500
10088,2027-02-04,South,Monitor,2,2000,4000
10089,2024-01-27,North,Keyboard,1,500,500
10090,2035-05-12,East,Laptop,3,800,2400
10091,2035-04-02,West,Keyboard,2,500,1000
10092,2032-10-01,West,Tablet,2,1200,2400
10093,2029-03-28,West,Keyboard,4,800,3200
10094,2031-06-27,South,Laptop,4,800,3200
10095,2023-07-20,East,Laptop,5,2000,10000
10096,2036-05-07,South,Monitor,5,2000,10000
10097,2031-07-02,East,Tablet,2,2000,4000
10098,2035-08-04,North,Smartphone,2,1200,2400
10099,2029-09-20,South,Keyboard,5,1200,6000
10100,2032-12-24,South,Monitor,5,1500,7500
10101,2025-03-15,North,Keyboard,2,800,1600
10102,2030-06-24,East,Keyboard,3,2000,6000
10103,2030-08-05,West,Smartphone,2,800,1600
10104,2027-04-20,North,Tablet,3,500,1500
10105,2030-05-14,West,Laptop,3,1200,3600
10106,2033-07-07,West,Accessories,2,1500,3000
10107,2025-10-25,North,Keyboard,1,500,500
10108,2024-05-17,East,Accessories,5,800,4000
10109,2035-04-21,West,Tablet,4,1200,4800
10110,2025-05-20,North,Accessories,2,2000,4000
10111,2035-04-16,South,Keyboard,3,500,1500
10112,2023-07-26,South,Smartphone,2,1200,2400
10113,2027-01-24,South,Accessories,5,800,4000
10114,2025-05-13,North,Tablet,3,800,2400
10115,2030-08-22,South,Tablet,4,500,2000
10116,2024-07-17,West,Smartphone,4,500,2000
10117,2034-06-23,South,Accessories,4,500,2000
10118,2027-10-24,South,Accessories,1,1500,1500
10119,2027-08-06,West,Laptop,3,2000,6000
10120,2031-11-17,South,Monitor,3,1200,3600
10121,2035-09-11,West,Tablet,1,800,800
10122,2025-11-25,South,Laptop,3,800,2400
10123,2027-09-19,West,Tablet,1,2000,2000
10124,2032-01-28,South,Laptop,2,500,1000
10125,2031-08-24,West,Monitor,5,500,2500
10126,2030-03-10,North,Laptop,4,800,3200
10127,2030-06-22,West,Tablet,1,2000,2000
10128,2027-05-17,South,Accessories,1,800,800
10129,2031-05-19,South,Tablet,1,500,500
10130,2030-05-17,East,Keyboard,2,1200,2400
10131,2036-05-23,West,Smartphone,1,500,500
10132,2032-12-06,North,Smartphone,5,1200,6000
10133,2026-09-25,West,Keyboard,5,1500,7500
10134,2028-06-04,West,Smartphone,4,2000,8000
10135,2027-07-22,North,Smartphone,2,1500,3000
10136,2027-03-10,West,Monitor,5,500,2500
10137,2028-07-31,North,Accessories,3,2000,6000
10138,2032-01-16,North,Accessories,3,500,1500
10139,2029-02-15,West,Tablet,3,2000,6000
10140,2026-07-30,West,Keyboard,1,2000,2000
10141,2034-01-12,South,Laptop,1,500,500
10142,2030-04-29,South,Tablet,3,500,1500
10143,2026-07-06,East,Tablet,4,2000,8000
10144,2024-12-10,East,Tablet,4,2000,8000
10145,2035-12-28,West,Tablet,1,500,500
10146,2035-01-31,North,Accessories,3,500,1500
10147,2033-04-06,East,Laptop,4,800,3200
10148,2036-02-01,West,Tablet,1,800,800
10149,2024-10-25,East,Accessories,3,800,2400
10150,2028-06-21,North,Tablet,2,1500,3000
10151,2032-06-07,West,Smartphone,3,2000,6000
10152,2033-04-01,North,Tablet,3,1200,3600
10153,2027-02-04,West,Keyboard,5,1500,7500
10154,2032-01-18,East,Keyboard,5,2000,10000
10155,2033-04-21,South,Tablet,2,1200,2400
10156,2028-01-28,East,Monitor,2,800,1600
10157,2035-10-04,East,Smartphone,3,1200,3600
10158,2026-07-15,South,Laptop,4,500,2000
10159,2032-10-21,South,Tablet,2,500,1000
10160,2032-06-19,West,Laptop,3,2000,6000
10161,2027-06-25,West,Smartphone,1,1500,1500
10162,2033-02-13,North,Tablet,5,800,4000
10163,2031-03-19,North,Monitor,4,2000,8000
10164,2031-08-19,East,Accessories,3,800,2400
10165,2024-11-29,South,Monitor,1,500,500
10166,2028-11-30,North,Monitor,5,1500,7500
10167,2034-03-21,East,Accessories,1,1500,1500
10168,2035-12-21,South,Accessories,3,500,1500
10169,2025-05-04,West,Keyboard,2,1200,2400
10170,2032-07-06,East,Accessories,5,1500,7500
10171,2027-09-04,West,Tablet,1,1200,1200
10172,2030-08-09,North,Laptop,2,800,1600
10173,2027-09-30,North,Keyboard,4,1500,6000
10174,2036-07-02,South,Keyboard,3,500,1500
10175,2032-08-11,East,Laptop,3,1200,3600
10176,2023-07-22,West,Keyboard,5,800,4000
10177,2031-11-30,South,Accessories,1,800,800
10178,2034-07-20,North,Monitor,4,1500,6000
10179,2035-04-24,North,Smartphone,5,1500,7500
10180,2025-02-05,East,Accessories,5,2000,10000
10181,2035-01-07,West,Monitor,1,2000,2000
10182,2029-05-16,East,Monitor,4,1500,6000
10183,2031-01-10,West,Keyboard,1,2000,2000
10184,2023-07-17,West,Tablet,3,500,1500
10185,2028-04-14,East,Tablet,2,500,1000
10186,2032-10-22,South,Keyboard,3,2000,6000
10187,2024-08-31,East,Keyboard,3,1500,4500
10188,2031-12-17,East,Laptop,5,500,2500
10189,2026-02-21,North,Laptop,3,800,2400
10190,2034-09-22,North,Smartphone,4,1500,6000
10191,2032-04-20,East,Smartphone,3,1200,3600
10192,2029-11-16,East,Smartphone,4,1200,4800
10193,2027-11-30,North,Smartphone,1,1500,1500
10194,2024-10-21,West,Monitor,5,2000,10000
10195,2030-09-12,East,Monitor,4,500,2000
10196,2026-10-01,South,Laptop,3,500,1500
10197,2028-06-09,South,Tablet,5,1500,7500
10198,2023-05-27,South,Keyboard,5,800,4000
10199,2031-10-25,East,Tablet,4,2000,8000
10200,2030-12-21,West,Accessories,4,800,3200
10201,2027-10-01,West,Monitor,2,1500,3000
10202,2028-01-18,North,Smartphone,2,1500,3000
10203,2024-05-03,East,Smartphone,5,800,4000
10204,2031-02-24,West,Accessories,2,1200,2400
10205,2028-05-13,East,Tablet,3,1500,4500
10206,2029-07-13,North,Smartphone,1,2000,2000
10207,2030-12-29,North,Tablet,5,800,4000
10208,2035-12-20,North,Keyboard,1,1200,1200
10209,2027-12-08,South,Accessories,2,800,1600
10210,2034-02-13,East,Tablet,4,1200,4800
10211,2032-03-23,North,Keyboard,5,1200,6000
10212,2023-09-20,East,Tablet,2,2000,4000
10213,2024-09-15,South,Tablet,3,1500,4500
10214,2025-10-13,South,Smartphone,5,1200,6000
10215,2032-12-22,North,Laptop,5,1500,7500
10216,2036-08-16,North,Monitor,4,2000,8000
10217,2028-08-11,West,Tablet,5,1500,7500
10218,2033-03-12,East,Tablet,4,500,2000
10219,2035-06-15,North,Tablet,2,1200,2400
10220,2031-07-06,West,Laptop,3,2000,6000
10221,2034-03-14,East,Keyboard,3,800,2400
10222,2028-08-18,North,Accessories,5,2000,10000
10223,2031-09-06,West,Smartphone,5,1200,6000
10224,2027-08-10,West,Laptop,2,2000,4000
10225,2029-03-05,East,Keyboard,4,800,3200
10226,2026-02-28,West,Tablet,3,500,1500
10227,2035-04-27,East,Keyboard,4,1200,4800
10228,2031-09-27,East,Laptop,2,1200,2400
10229,2027-08-24,East,Laptop,3,2000,6000
10230,2033-12-05,South,Laptop,3,1500,4500
10231,2035-12-07,West,Accessories,1,1500,1500
10232,2035-10-27,East,Monitor,2,800,1600
10233,2027-07-07,North,Smartphone,2,500,1000
